index,image_path,location,location_normalized,year,taluk_norm,locality_norm
80,F:\images\2022\Aminjikarai_Naduvankarai.png,Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2022,aminjikarai,naduvankarai
81,F:\images\2024\Aminjikarai_Naduvankarai.png,Aminjikarai_Naduvankarai,aminjikarai naduvankarai,2024,aminjikarai,naduvankarai
82,F:\images\2014\Aminjikarai_Sencheri.png,Aminjikarai_Sencheri,aminjikarai sencheri,2014,aminjikarai,sencheri
83,F:\images\2020\Aminjikarai_Sencheri.png,Aminjikarai_Sencheri,aminjikarai sencheri,2020,aminjikarai,sencheri
84,F:\images\2021\Aminjikarai_Sencheri.png,Aminjikarai_Sencheri,aminjikarai sencheri,2021,aminjikarai,sencheri
85,F:\images\2022\Aminjikarai_Sencheri.png,Aminjikarai_Sencheri,aminjikarai sencheri,2022,aminjikarai,sencheri
86,F:\images\2024\Aminjikarai_Sencheri.png,Aminjikarai_Sencheri,aminjikarai sencheri,2024,aminjikarai,sencheri
87,F:\images\2014\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2014,aminjikarai,siruvallur
88,F:\images\2020\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2020,aminjikarai,siruvallur
89,F:\images\2021\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2021,aminjikarai,siruvallur
90,F:\images\2022\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2022,aminjikarai,siruvallur
91,F:\images\2024\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2024,aminjikarai,siruvallur
92,F:\images\2025\Aminjikarai_Siruvallur.png,Aminjikarai_Siruvallur,aminjikarai siruvallur,2025,aminjikarai,siruvallur
93,F:\images\2014\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2014,aminjikarai,thirumangalam
94,F:\images\2020\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2020,aminjikarai,thirumangalam
95,F:\images\2021\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2021,aminjikarai,thirumangalam
96,F:\images\2022\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2022,aminjikarai,thirumangalam
97,F:\images\2024\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2024,aminjikarai,thirumangalam
98,F:\images\2025\Aminjikarai_Thirumangalam.png,Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2025,aminjikarai,thirumangalam
99,F:\images\2014\Aminjikarai_Vada_Agaram.png,Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2014,aminjikarai,vada
100,F:\images\2020\Aminjikarai_Vada_Agaram.png,Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2020,aminjikarai,vada
101,F:\images\2021\Aminjikarai_Vada_Agaram.png,Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2021,aminjikarai,vada
102,F:\images\2022\Aminjikarai_Vada_Agaram.png,Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2022,aminjikarai,vada
103,F:\images\2024\Aminjikarai_Vada_Agaram.png,Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2024,aminjikarai,vada
104,F:\images\2014\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2014,aminjikarai,villivakkam
105,F:\images\2020\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2020,aminjikarai,villivakkam
106,F:\images\2021\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2021,aminjikarai,villivakkam
107,F:\images\2022\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2022,aminjikarai,villivakkam
108,F:\images\2024\Aminjikarai_Villivakkam.png,Aminjikarai_Villivakkam,aminjikarai villivakkam,2024,aminjikarai,villivakkam
