location,location_normalized,year,image_path
Aminjikarai_Sencheri,aminjikarai sencheri,2021,F:\images\2021\Aminjikarai_Sencheri.png
Aminjikarai_Sencheri,aminjikarai sencheri,2022,F:\images\2022\Aminjikarai_Sencheri.png
Aminjikarai_Sencheri,aminjikarai sencheri,2024,F:\images\2024\Aminjikarai_Sencheri.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2014,F:\images\2014\Aminjikarai_Siruvallur.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2020,F:\images\2020\Aminjikarai_Siruvallur.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2021,F:\images\2021\Aminjikarai_Siruvallur.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2022,F:\images\2022\Aminjikarai_Siruvallur.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2024,F:\images\2024\Aminjikarai_Siruvallur.png
Aminjikarai_Siruvallur,aminjikarai siruvallur,2025,F:\images\2025\Aminjikarai_Siruvallur.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2014,F:\images\2014\Aminjikarai_Thirumangalam.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2020,F:\images\2020\Aminjikarai_Thirumangalam.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2021,F:\images\2021\Aminjikarai_Thirumangalam.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2022,F:\images\2022\Aminjikarai_Thirumangalam.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2024,F:\images\2024\Aminjikarai_Thirumangalam.png
Aminjikarai_Thirumangalam,aminjikarai thirumangalam,2025,F:\images\2025\Aminjikarai_Thirumangalam.png
Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2014,F:\images\2014\Aminjikarai_Vada_Agaram.png
Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2020,F:\images\2020\Aminjikarai_Vada_Agaram.png
Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2021,F:\images\2021\Aminjikarai_Vada_Agaram.png
Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2022,F:\images\2022\Aminjikarai_Vada_Agaram.png
Aminjikarai_Vada_Agaram,aminjikarai vada agaram,2024,F:\images\2024\Aminjikarai_Vada_Agaram.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2014,F:\images\2014\Aminjikarai_Villivakkam.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2020,F:\images\2020\Aminjikarai_Villivakkam.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2021,F:\images\2021\Aminjikarai_Villivakkam.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2022,F:\images\2022\Aminjikarai_Villivakkam.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2024,F:\images\2024\Aminjikarai_Villivakkam.png
Aminjikarai_Villivakkam,aminjikarai villivakkam,2025,F:\images\2025\Aminjikarai_Villivakkam.png
Egmore_Egmore_(Part_I),egmore egmore (part i),2014,F:\images\2014\Egmore_Egmore_(Part_I).png
Egmore_Egmore_(Part_I),egmore egmore (part i),2020,F:\images\2020\Egmore_Egmore_(Part_I).png
Egmore_Egmore_(Part_I),egmore egmore (part i),2021,F:\images\2021\Egmore_Egmore_(Part_I).png
